Date,longshort,long,short
1926-10-18,0.00264,0.008778,0.006137999999999999
1926-10-19,0.00013199999999999844,-0.011352000000000001,-0.011484
1926-10-20,-0.0058410000000000024,-0.013728000000000002,-0.007887
1926-10-21,-0.00036299999999999527,0.018150000000000003,0.018512999999999998
1926-10-22,0.0043230000000000005,0.00016500000000000016,-0.004158
1926-10-23,0.0063030000000000004,0.011847000000000002,0.005544000000000001
1926-10-25,0.0015509999999999999,0.00198,0.000429
1926-10-26,0.001386000000000001,0.005412000000000001,0.004026
1926-10-27,-0.006236999999999999,0.007425,0.013661999999999999
1926-10-28,0.008712000000000001,0.006633,-0.002079
1926-10-29,0.0004949999999999993,-0.0023760000000000005,-0.002871
1926-10-30,0.002673,-0.00013199999999999998,-0.002805
1926-11-01,-0.005016,0.0007260000000000001,0.005742
