,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19950612,0.65,0.39,0.25,0.3,0.55,0.58
19950613,0.78,0.46,0.63,0.92,0.93,1.04
19950614,0.11,0.2,0.35,-0.02,0.1,0.08
19950615,0.59,0.31,0.7,0.1,0.16,0.2
19950616,0.26,0.2,0.2,0.44,0.23,0.61
19950619,0.58,0.46,0.6,1.08,0.63,1.19
19950620,0.25,0.03,0.17,-0.15,-0.13,0.17
19950621,0.09,0.25,0.41,0.07,-0.36,0.1
19950622,0.51,0.45,0.83,1.65,0.96,1.37
19950623,-0.02,0.09,-0.27,-0.21,-0.19,-0.34
19950626,-0.9,-0.71,-1.14,-1.31,-0.81,-1.03
19950627,-0.11,-0.44,-0.29,-0.37,-0.18,-0.49
19950628,-0.01,-0.01,-0.15,0.13,0.53,0.41
19950629,0.47,0.44,0.38,-0.03,-0.14,-0.07
19950630,1.02,0.97,1.2,0.55,0.22,0.07
19950703,0.06,0.01,0.12,0.27,0.18,0.54
19950705,0.34,0.4,0.5,0.5,0.18,0.07
19950706,0.45,0.58,0.6,1.17,1.29,1.18
19950707,0.96,0.94,1.15,0.57,0.74,0.44
19950710,0.29,0.59,0.87,-0.01,0.03,0.27
19950711,0.09,0.06,0.48,-0.57,-0.36,-0.36
19950712,0.86,1.12,0.96,1.13,1.11,1.17
19950713,0.34,0.4,0.23,0.06,0.06,0.02
19950714,0.26,0.06,0.1,-0.08,-0.19,-0.16
19950717,0.46,0.37,0.52,0.21,0.47,0.46
19950718,-0.83,-0.61,-0.69,-0.87,-0.59,-0.89
19950719,-2.46,-1.96,-2.18,-1.8,-1.52,-1.46
19950720,0.87,0.93,0.78,0.5,0.74,0.49
19950721,0.44,0.44,0.32,0.18,0,0.02
19950724,0.98,0.83,0.9,0.63,0.57,0.77
19950725,0.53,0.4,0.67,1.4,0.69,0.78
19950726,0.5,0.34,0.4,0.28,0.28,0.17
19950727,0.93,0.68,0.7,0.69,0.84,0.61
19950728,0.32,0.25,0.19,0.13,-0.45,-0.37
19950731,0.05,0.21,0.37,0.09,0.12,-0.29
19950801,-0.36,-0.36,-0.56,-0.36,-0.65,-0.44
19950802,-0.04,-0.11,-0.16,0.41,-0.37,-0.2
19950803,-0.23,-0.26,-0.16,-0.17,-0.02,-0.07
19950804,0.48,0.18,0.34,-0.06,0.03,0.24
19950807,0.46,0.3,0.25,0.38,0.13,0.25
19950808,0.02,-0.23,0.13,-0.06,0.06,0.13
19950809,0.51,0.21,0.13,-0.17,-0.18,0.14
19950810,0.07,-0.17,-0.03,-0.36,-0.15,-0.33
19950811,-0.03,-0.08,0.15,-0.21,-0.33,-0.41
19950814,0.43,0.37,0.17,0.57,0.69,0.97
19950815,0.19,0.13,0.15,0.17,-0.08,-0.21
19950816,0.78,0.54,0.4,0.75,0.77,0.18
19950817,0.42,0.35,0.56,0.23,0.2,-0.28
19950818,0.37,0.29,0.43,0.42,0.05,-0.01
19950821,0.33,0.4,0.37,-0.1,-0.48,-0.21
19950822,-0.18,-0.21,-0.31,0.08,0.14,0.39
19950823,0.1,0.05,0.09,-0.27,-0.39,-0.29
19950824,-0.23,-0.16,-0.1,-0.21,-0.19,0.13
19950825,0.29,0.17,0.21,0.88,0.52,0.32
19950828,-0.49,-0.16,-0.08,-0.27,-0.49,-0.18
19950829,-0.83,-0.46,-0.43,0.05,-0.07,0.3
19950830,0.79,0.52,0.53,0.37,0.06,0.41
19950831,0.8,0.57,0.54,0.41,0.2,0.31
19950901,0.31,0.26,0.29,0.42,0.58,0.1
19950905,0.52,0.61,0.47,0.75,0.99,1.15
19950906,0.74,0.68,0.7,0.67,0.05,0.42
19950907,0.64,0.31,0.48,0.13,0.18,-0.06
19950908,0.8,0.7,0.87,0.92,0.36,0.49
19950911,0.32,0.13,0.05,0.34,0.14,0.33
19950912,0.37,0.09,0.08,0.43,0.37,0.21
19950913,0.14,0.17,0.37,0.24,0.07,0.76
19950914,0.23,0.15,0.35,0.56,0.47,0.82
19950915,-0.63,-0.45,-0.48,-0.42,-0.23,0.04
19950918,-0.32,-0.25,-0.46,-0.22,-0.11,-0.04
19950919,0.28,0.19,-0.12,-0.02,0.42,0.37
19950920,0.51,0.29,0.31,0.47,0.22,0.61
19950921,-0.3,-0.42,-0.17,-0.66,-0.71,-0.62
19950922,-0.42,-0.35,-0.48,-0.76,-0.42,-0.08
19950925,-0.55,-0.56,-0.35,-0.34,-0.26,0.01
19950926,-0.4,-0.22,-0.6,-0.58,0.04,0.04
19950927,-1.47,-0.89,-0.89,-0.59,-0.18,-0.03
19950928,1.03,0.67,0.68,1.48,1.13,0.65
19950929,0.78,0.45,0.95,-0.31,-0.14,-0.2
19951002,-1.15,-0.91,-1.06,-0.66,-0.48,-0.54
19951003,-1.15,-0.92,-0.98,-0.34,-0.14,0.18
19951004,-1.39,-0.89,-0.73,-1.05,-0.53,-0.05
19951005,0.03,0.07,-0.02,0.7,0.3,0.27
19951006,0.21,0.18,0.41,0.02,-0.14,0.02
19951009,-2.15,-1.3,-1.43,-1.25,-1.05,-0.81
19951010,-0.8,-0.86,-0.74,-0.18,0.02,-0.21
19951011,1.22,0.93,1.09,0.88,0.5,0.5
19951012,1.04,0.82,0.76,0.74,0.68,0.87
19951013,0.6,0.53,0.69,0.79,0.45,0.08
19951016,-0.09,-0.01,0.35,0.01,-0.34,-0.16
19951017,0.18,0.05,0.06,0.5,0.69,0.76
19951018,0.31,0.38,0.32,0.15,0.08,0.3
19951019,-0.14,-0.23,-0.35,0.1,0.2,0.63
19951020,-0.22,-0.16,0.15,-0.66,-0.49,-0.64
19951023,-0.65,-0.64,-0.7,-0.43,-0.38,-0.25
19951024,0.07,-0.19,0,-0.16,-0.01,0.29
19951025,-1.19,-0.86,-1.06,-0.86,-0.74,-0.87
19951026,-1.26,-0.85,-0.94,-1.33,-1.05,-0.71
19951027,-0.13,-0.04,-0.18,0.82,0.4,0.53
19951030,0.58,0.5,0.21,0.82,0.87,0.51
19951031,0.08,-0.02,-0.07,-0.14,-0.58,-0.23
19951101,0.25,0.39,0.38,0.95,0.66,0.4
19951102,1.18,0.84,0.75,1.1,1.16,0.96
19951103,0.8,0.4,0.67,0.46,0.56,0.11
19951106,0.07,0,0.03,-0.04,-0.32,-0.37
19951107,-0.63,-0.37,-0.32,-0.43,-0.56,-0.41
19951108,0.37,0.41,0.16,0.39,0.86,0.92
19951109,0.64,0.51,0.31,0.14,0.45,0.52
19951110,0.2,0.09,0.3,0.09,-0.23,-0.14
19951113,-0.27,-0.11,-0.31,-0.15,0.04,-0.16
19951114,-0.98,-0.57,-0.36,-0.66,-0.8,-0.55
19951115,-0.03,-0.04,0.1,0.1,0.55,0.87
19951116,0.45,0.35,0.44,0.81,0.82,0.47
19951117,0.27,0.3,0.48,0.81,0.29,0.38
19951120,-0.43,-0.34,-0.4,-0.7,-0.69,-0.5
19951121,-0.71,-0.37,-0.32,0.09,0.32,0.49
19951122,-0.03,-0.05,-0.02,-0.04,-0.05,-0.38
19951124,0.37,0.2,0.25,0.56,0.38,0.3
19951127,0.19,0.17,0.06,0.35,0.37,0.05
19951128,0.61,0.27,0.37,0.56,0.36,1.17
19951129,0.77,0.46,0.61,0.54,0.52,0.28
19951130,0.76,0.54,0.63,0.4,-0.18,-0.25
19951201,0.57,0.37,0.16,-0.03,0.08,0.17
19951204,0.85,0.68,0.56,0.95,0.92,1.21
19951205,0.12,0.19,-0.15,0.28,0.52,0.47
19951206,-0.27,-0.34,0.05,-0.09,0.09,0.49
19951207,-0.65,-0.33,-0.36,-0.5,-0.5,-0.75
19951208,0.27,0.22,0.29,-0.14,0.3,0.26
19951211,0.09,-0.04,0.07,0.22,0.28,0.32
19951212,-0.19,-0.23,-0.18,-0.2,-0.33,-0.17
19951213,0.54,0.32,0.2,0.39,0.15,0.68
19951214,-0.22,0.09,-0.24,-1.01,-0.92,-0.83
19951215,-0.54,-0.59,-0.74,0.21,-0.51,-0.14
19951218,-2.62,-1.83,-1.64,-2.07,-1.52,-1.59
19951219,1.27,0.29,0.28,1.26,1.39,0.83
19951220,1.08,0.81,0.89,-0.05,-0.54,-1.08
19951221,1.2,0.34,0,0.72,0.92,0.62
19951222,0.78,0.28,0.38,0.6,0.19,0.34
19951226,0.33,0.02,0.17,0.17,0.2,0.44
19951227,0.45,0.33,0.28,0.06,0.26,0.05
19951228,-0.07,-0.12,0.2,-0.09,0.08,-0.09
19951229,0.95,0.42,0.83,0.74,0.27,0.34
19960102,0.36,0.28,0.13,0.52,0.59,0.84
19960103,-0.3,-0.24,-0.39,-0.25,-0.24,0.15
19960104,-1.48,-1,-1.05,-0.89,-0.47,-0.76
19960105,0.64,0.33,0.44,-0.32,0.07,-0.33
19960108,0.22,0.04,-0.14,0.26,0.35,0.25
19960109,-1.75,-1.29,-1.37,-1.61,-1.21,-1.84
19960110,-1.54,-1.14,-1.36,-1.47,-1.46,-1.7
19960111,1.05,0.72,0.71,0.97,0.9,0.8
19960112,-0.12,-0.26,0.01,-0.3,-0.51,0.15
19960115,-1,-0.83,-0.84,-0.26,-0.7,-0.47
19960116,-0.14,-0.09,-0.39,0.43,0.9,1.58
19960117,0.2,0.2,0.37,0.41,-0.27,-0.23
19960118,0.6,0.31,0.37,0.52,0.34,0.33
19960119,0.34,0.42,0.35,0.29,0.9,0.53
19960122,0.98,0.3,0.49,0.47,0.38,0.33
19960123,0.42,0.05,0.51,-0.12,-0.24,0.07
19960124,0.77,0.5,0.57,1,0.66,1.4
19960125,0.1,0.07,0.24,-0.35,-0.3,-0.52
19960126,0.32,0.08,0.45,0.55,0.59,0.79
19960129,0.41,-0.02,0.43,0.48,0.48,0.34
19960130,0.63,0.51,0.52,0.81,0.72,1.14
19960131,0.64,0.38,0.49,1.12,0.93,0.8
19960201,0.51,0.59,0.55,0.42,0.56,0.4
19960202,0.12,0.13,0.08,0.07,-0.43,-0.38
19960205,0.27,0.18,0.3,0.37,0.77,1.05
19960206,0.27,0.51,0.51,1.12,0.61,0.74
19960207,-0.29,-0.27,0.1,-0.11,0.43,0.67
19960208,0.32,0.43,0.28,0.78,1.1,0.8
19960209,0.19,0.33,0.17,0.04,0.02,0.14
19960212,0.14,0.21,-0.15,0.38,0.81,0.61
19960213,-0.51,-0.41,-0.31,-0.13,-0.19,-0.12
19960214,0.22,0.51,0.34,-0.09,-0.41,-0.73
19960215,0.19,-0.12,0.24,-0.01,-0.13,-0.6
19960216,0.39,0.3,0.06,-0.69,-0.26,-0.55
19960220,-0.78,-0.92,-0.75,-1.04,-0.93,-1.1
19960221,0.87,0.61,0.92,0.99,1.13,1.15
19960222,1.21,1,1.13,1.58,1.77,1.61
19960223,0.18,0.35,0.26,0.35,0.02,0.02
19960226,-0.15,-0.05,0.03,-1.06,-1.13,-1.18
19960227,-0.18,-0.03,0.02,-0.51,-0.28,-0.52
19960228,0.21,0.12,0.34,0.06,-0.35,-0.25
19960229,0.05,-0.18,-0.1,-0.83,-0.77,-0.57
19960301,-0.24,0.01,0.06,0.17,0.33,0.41
19960304,0.3,0.66,0.32,0.73,1.06,1.08
19960305,0.28,0.2,0.56,0.53,0.64,0.92
19960306,0.03,0.09,0.02,0.09,-0.38,-0.6
19960307,0.02,0.11,0.09,0.39,0.23,0.2
19960308,-2.82,-2.03,-2.34,-2.9,-2.93,-3.02
19960311,1.13,0.63,0.71,0.75,0.97,1.05
19960312,-0.38,-0.07,-0.24,-0.54,-0.45,-0.5
19960313,0.92,0.5,0.7,0.77,0.81,0.07
19960314,0.84,0.48,0.61,0.49,0.67,0.14
19960315,0.07,0.02,0.18,-0.29,0.21,0.34
19960318,0.89,0.98,1.14,1.2,1.99,1.49
19960319,-0.09,0.19,0.37,0.18,-0.31,-0.14
19960320,0,-0.06,0.16,-0.72,-0.59,-0.06
19960321,0.29,0.04,0.27,-0.01,-0.31,-0.04
19960322,0.28,0.22,0.24,0.18,0.42,0.13
19960325,-0.93,-0.37,-0.24,-0.19,-0.3,-0.2
19960326,-0.06,0.05,0.06,0.02,0.48,0.39
19960327,0.26,0.36,0.21,-0.01,-0.33,-0.55
19960328,0.07,0.15,0.2,-0.14,0.13,0.01
19960329,0.97,0.7,0.76,-0.45,-0.47,-0.35
19960401,0.54,0.22,0.51,0.26,0.92,1.53
19960402,0.47,0.21,0.37,0.09,0.19,0.25
19960403,0.41,0.35,0.36,0.05,0.1,0.14
19960404,0.4,0.15,-0.06,0.34,0,-0.09
19960408,-1.2,-1.19,-1.09,-1.39,-1.71,-1.81
19960409,0.31,0.57,0.54,0.17,0.04,-0.42
19960410,-0.45,-0.37,-0.19,-1.23,-1.08,-1.42
19960411,-0.41,-0.22,-0.29,-0.78,-0.48,-0.47
19960412,0.55,0.42,0.47,0.93,0.62,1.13
19960415,0.77,0.81,1,0.71,1.05,0.75
19960416,0.77,0.39,0.45,0.16,0.42,0.58
19960417,-0.22,0.04,0.04,-0.68,-0.83,-0.32
19960418,0.89,0.63,0.97,0.66,-0.04,0.61
19960419,0.39,0.32,0.5,0.35,0.1,0.27
19960422,0.98,0.6,0.58,0.53,0.47,0.58
19960423,1.05,0.54,0.33,0.61,0.95,0.41
19960424,0.27,0.43,0.4,-0.03,0.22,-0.26
19960425,0.7,0.42,0.48,0.38,0.53,0.44
19960426,0.6,0.49,0.37,0.21,0.08,0.09
19960429,0.14,0.25,0.46,0.07,0.17,0.02
19960430,0.25,0.15,0.05,-0.11,-0.01,0.02
19960501,0.94,0.53,0.45,0.23,0.12,0.24
19960502,-1.26,-0.74,-1.02,-1.83,-1.38,-1.73
19960503,0.66,0.18,0.27,-0.07,-0.09,-0.22
19960506,0.35,0.02,-0.15,-0.1,-0.17,-0.17
19960507,-0.63,-0.14,-0.24,-0.33,-0.41,-0.4
19960508,-0.38,-0.13,-0.1,-0.03,0.91,0.92
19960509,0.89,0.65,0.87,0.33,0.32,0.1
19960510,1.17,0.84,0.85,1.12,1.02,1.09
19960513,1.1,0.6,0.93,1.01,1.45,1.4
19960514,0.83,0.92,0.65,0.77,0.61,0.68
19960515,0.12,0.21,0.28,-0.01,-0.08,-0.05
19960516,0.45,0.22,0.27,-0.15,-0.35,0.3
19960517,0.71,0.61,0.56,0.35,0.5,0.64
19960520,0.96,0.47,0.54,0.5,0.64,0.53
19960521,0.12,-0.01,0.07,0.05,-0.2,-0.05
19960522,0.88,0.17,0.14,0.27,0.69,0.73
19960523,0.08,0.09,0.07,-0.43,-0.32,-0.24
19960524,0.13,0.36,0.33,0.13,0.05,0.44
19960528,-1.09,-0.53,-0.61,-1.01,-0.75,-0.89
19960529,-0.73,-0.53,-0.69,-0.84,-0.69,-0.55
19960530,0.68,0.29,0.08,0.68,0.38,0.63
19960531,0.47,0.44,0.69,-0.02,-0.46,-0.28
19960603,-0.33,0.1,-0.19,-0.41,-0.36,-0.12
19960604,0.33,0.18,0.51,0.9,0.9,0.69
19960605,0.22,0.31,0.27,0.4,0.37,1.15
19960606,-0.97,-0.47,-0.44,-1.09,-0.74,-0.71
19960607,-0.75,-0.64,-0.68,-0.33,-0.14,0.03
19960610,0.31,0.21,0.16,-0.27,-0.1,-0.13
19960611,-0.09,0.02,0.01,-0.16,0.09,-0.24
19960612,0.06,0.05,0.36,-0.17,-0.26,-0.04
19960613,-0.83,-0.53,-0.13,-0.38,-0.24,-0.13
19960614,-0.73,-0.46,-0.45,-0.4,-0.49,-0.34
19960617,-0.58,-0.22,-0.42,-0.22,-0.03,-0.17
19960618,-2.34,-0.85,-0.9,-0.3,-0.45,-0.71
19960619,-0.56,-0.36,-0.72,0.22,-0.13,0.05
19960620,-1.2,-0.81,-0.98,-0.56,-0.36,0.11
19960621,0.58,0.14,0.32,0.58,0.54,0.7
19960624,0.59,0.24,0.57,0.06,0.29,0.34
19960625,-0.94,-0.53,-0.51,-0.56,-0.27,-0.06
19960626,-1.81,-1.18,-1.26,-0.68,-0.59,-0.68
19960627,0.78,0.41,0.5,0.63,0.7,0.61
19960628,1.94,1.54,1.87,0.69,0.61,0.36
19960701,0.62,0.5,0.48,0.91,0.57,0.91
19960702,-0.17,-0.06,0.03,-0.01,-0.18,-0.42
19960703,-0.69,-0.49,-0.38,-0.3,-0.25,-0.31
19960705,-1.58,-1.24,-1.33,-2.12,-2.08,-2.14
19960708,-1.23,-0.75,-1.04,-1.02,-0.77,-0.77
19960709,-0.09,-0.08,0.08,0.51,0.58,0.27
19960710,-1.39,-0.91,-1.23,-0.54,-0.1,0.12
19960711,-3.26,-2.13,-2.58,-2.58,-1.38,-1.71
19960712,-0.29,-0.19,-0.24,0.27,0.17,-0.07
19960715,-3.59,-2.2,-2.89,-2.95,-2.42,-2.65
19960716,-1.7,-1.47,-2,-0.93,-0.79,0.05
19960717,3.46,2.18,2.75,1.95,1.25,1.08
19960718,1.76,1.32,1.66,1.92,1.55,1.54
19960719,-0.51,-0.28,-0.09,-1.06,-0.93,-0.69
19960722,-1.63,-1,-1.16,-1.4,-0.77,-0.78
19960723,-2.44,-1.63,-1.91,-1.67,-1.17,-1.4
19960724,-1.81,-1.27,-1.8,-0.32,-0.16,0.13
19960725,1.65,1.08,1.29,0.99,0.64,0.99
19960726,1.14,0.82,1.24,1.12,0.66,0.98
19960729,-0.63,-0.36,-0.37,-0.63,-0.71,-0.9
19960730,-0.11,0.16,0.33,0.1,0.41,0.74
19960731,0.97,0.62,0.75,0.49,0.58,0.87
19960801,1.01,1.06,0.91,1.55,1.72,1.66
19960802,1.69,1.35,1.27,1.89,1.92,1.91
19960805,-0.12,0.15,0.38,-0.2,-0.37,-0.33
19960806,0.15,0.23,0.2,0.43,0.27,0.38
19960807,0.8,0.68,0.78,0.37,0.16,0.44
19960808,0.05,0.03,-0.22,0.06,-0.07,-0.27
19960809,-0.04,-0.05,0.01,-0.38,0.08,-0.49
19960812,-0.12,0.22,-0.12,0.29,0.67,0.69
19960813,-0.65,-0.45,-0.38,-1.1,-0.62,-0.84
19960814,0.46,0.32,0.36,0.76,0.35,0.38
19960815,0.25,0.19,0.39,0.22,0.06,0.03
19960816,0.29,0.42,0.41,0.42,0.64,0.33
19960819,-0.01,0.04,-0.12,0.15,0.16,0.07
19960820,-0.14,0.15,0.08,-0.11,-0.14,-0.19
19960821,-0.01,-0.12,-0.03,-0.07,-0.04,-0.11
19960822,0.98,0.66,0.68,0.73,0.78,0.97
19960823,0.12,0.08,0.17,-0.41,-0.61,-0.29
19960826,-0.11,0.14,-0.14,-0.13,-0.46,-0.42
19960827,0.65,0.48,0.89,0.37,0.41,0.38
19960828,0.66,0.45,0.53,0.21,-0.02,-0.14
19960829,-0.47,-0.22,-0.13,-0.89,-0.93,-1.08
19960830,0.01,-0.07,-0.01,-0.49,-0.48,-0.86
19960903,-0.3,-0.16,-0.31,-0.13,0.22,0.32
19960904,0.24,0.54,0.2,0.17,0.21,0.11
19960905,-0.81,-0.75,-0.85,-0.86,-0.87,-1.07
19960906,0.93,0.66,0.55,0.83,0.83,1.22
19960909,0.55,0.42,0.35,1,1.05,1.1
19960910,0.03,0.05,0.07,-0.32,-0.16,0.26
19960911,0.19,0.19,0.02,0.71,0.62,0.35
19960912,0.62,0.39,0.67,0.48,0.67,0.68
19960913,0.87,0.65,0.71,0.98,1.01,1.68
19960916,0.09,0.43,0.37,0.48,0.53,0.54
19960917,-0.08,0.05,0.1,-0.28,-0.13,-0.08
19960918,-0.21,0.06,-0.08,-0.23,-0.33,-0.08
19960919,-0.25,-0.02,0.08,0.06,0.26,0.26
19960920,0.33,0.5,0.46,0.72,0.62,0.44
19960923,-0.25,-0.23,-0.49,-0.49,-0.2,-0.07
19960924,0.14,0.4,0.22,-0.03,0.04,-0.08
19960925,0.48,0.34,0.24,-0.05,-0.07,0.3
19960926,0.45,0.22,0.39,0.38,0.22,0.11
19960927,0.17,0.22,0.34,0.33,0.09,-0.02
19960930,0.25,0.11,0.46,0.05,0.15,0.26
19961001,-0.52,-0.17,-0.45,-0.12,0.44,0
19961002,0.65,0.82,0.72,0.86,0.52,0.87
19961003,-0.26,-0.1,-0.11,-0.13,-0.06,-0.23
19961004,0.55,0.35,0.58,1.27,1.18,1.21
19961007,-0.05,-0.13,-0.09,0.26,0.19,0.28
19961008,-0.55,-0.19,-0.24,-0.44,-0.21,-0.53
19961009,-0.42,-0.15,0.17,-0.44,-0.68,-0.45
19961010,0.06,0.14,0.3,-0.25,-0.19,-0.32
19961011,0.29,0.34,0.45,0.44,0.51,0.99
19961014,0.31,0.18,0.53,0.26,0.61,0.46
19961015,-0.08,-0.01,-0.03,-0.4,-0.32,-0.03
19961016,-0.24,-0.15,-0.3,0.01,0.01,0.25
19961017,-0.1,-0.15,0.06,0.52,0.5,0.15
19961018,-0.01,-0.15,0.04,0.39,0.56,0.35
19961021,-0.69,-0.3,-0.68,-0.15,-0.27,-0.2
19961022,-1.24,-0.74,-1.18,-0.88,-0.49,-0.55
19961023,-0.11,0.01,-0.14,-0.01,0.13,-0.06
19961024,0.23,0.11,-0.09,-0.62,-0.46,-0.6
19961025,0.04,0.05,0.04,0.27,-0.07,-0.4
19961028,-1.13,-0.69,-0.6,-0.49,-0.46,-0.6
19961029,-0.9,-0.32,-0.42,0.33,0.46,0.43
19961030,-0.08,0.2,-0.25,0.15,-0.16,0.04
19961031,0.79,0.62,0.61,0.43,0.41,0.78
19961101,-0.54,-0.18,-0.31,-0.17,-0.05,-0.17
19961104,-0.23,0.02,0.06,0,0.25,0.49
19961105,-0.08,-0.11,0,0.64,0.69,1.29
19961106,0.67,0.8,0.65,0.98,1.52,1.6
19961107,0.53,0.49,0.6,0.55,0.27,0.49
19961108,0.24,0.01,-0.03,0.53,0.56,0.31
19961111,0.16,0.3,0.35,0.18,0.06,0.22
19961112,-0.17,0.11,0.22,-0.11,-0.41,-0.18
19961113,0.06,-0.02,0.09,0.35,0.08,0.26
19961114,0.17,0.52,0.06,0.42,0.52,0.77
19961115,-0.23,-0.27,-0.03,0.27,0.11,0.09
19961118,-0.45,-0.09,-0.22,0,-0.03,-0.19
19961119,-0.07,0.32,0.22,0.2,0.43,0.85
19961120,-0.04,0.25,0.24,0.26,0.31,0.22
19961121,-0.33,0.17,-0.24,-0.14,-0.26,-0.16
19961122,0.88,0.62,0.74,0.88,0.78,0.77
19961125,0.64,0.6,0.45,0.81,0.98,1.19
19961126,-0.5,-0.02,-0.21,-0.16,-0.19,-0.12
19961127,0.45,0.46,0.28,-0.02,-0.23,0.14
19961129,0.7,0.39,0.37,0.21,0.14,0.31
19961202,0.1,0.35,0.12,0.17,0.04,0.04
19961203,0.69,0.71,0.73,-0.37,-0.6,-1.21
19961204,0.05,0.06,-0.01,-0.4,-0.39,-0.3
19961205,0.46,0.24,0.2,0.28,0.12,-0.35
19961206,-0.98,-1.01,-0.88,-0.94,-0.73,-0.61
19961209,1.42,1.22,1.34,1,0.98,1.71
19961210,0.07,0.34,0.41,-0.18,-0.26,-0.41
19961211,-1,-0.9,-0.96,-1.17,-1.02,-0.75
19961212,-0.33,-0.08,-0.13,-1.17,-1.36,-1.53
19961213,-0.58,-0.66,-0.74,-0.33,0.08,-0.33
19961216,-1.16,-0.66,-0.81,-0.64,-0.99,-1.29
19961217,-0.28,-0.19,-0.05,0.12,0.63,0.71
19961218,0.95,0.71,0.51,0.79,0.83,0.85
19961219,0.48,0.7,0.64,1.42,1.7,1.85
19961220,-0.02,0.31,0.21,0.21,0.42,0.32
19961223,-0.56,-0.32,-0.41,-0.43,-0.21,-0.36
19961224,0.18,0,0.1,0.31,0.38,0.72
19961226,0.27,0.5,0.28,0.78,0.31,0.78
19961227,0.23,0.47,0.37,-0.07,0.15,0.23
19961230,-0.1,0.05,0.21,-0.14,-0.12,-0.39
19961231,0.86,0.71,0.88,-0.48,-1.21,-1.53
19970102,-0.51,-0.69,-0.72,-1.23,-0.66,-0.62
19970103,1.32,0.71,1.07,1.3,1.14,1.66
19970106,0.28,0.06,0.33,0.01,-0.04,-0.02
19970107,0.68,0.41,0.68,0.49,0.86,0.71
19970108,0.24,0.04,0.21,-0.35,-0.42,-0.61
19970109,0.41,0.28,0.51,1.21,0.95,0.62
19970110,0.2,0.28,0.14,0.23,0.52,0.65
19970113,-0.03,0.16,-0.04,-0.41,-0.28,0.13
19970114,0.32,0.58,0.5,1.05,1,1.46
19970115,-0.08,-0.03,-0.08,-0.11,-0.18,-0.27
19970116,0.01,-0.14,-0.03,0.09,0.3,0.34
19970117,0.47,0.16,0.45,0.44,0.68,0.91
19970120,0.52,0.27,0.8,0.36,-0.05,0.37
19970121,0.36,0.03,0.27,0.83,0.36,0.81
19970122,0.25,0.18,-0.18,0.48,0.6,0.47
19970123,0.02,0.08,0.18,-0.57,-0.89,-1.14
19970124,-0.6,-0.58,-0.65,-0.76,-0.81,-1.08
19970127,-0.57,-0.49,-0.75,-0.68,-0.48,-0.82
19970128,0.16,0.3,0.36,-0.3,0.02,0.05
19970129,0.13,-0.04,0.01,0.57,0.63,1
19970130,0.46,0.43,0.69,0.74,0.97,1.68
19970131,0.35,0.24,0.28,0.6,0.23,0.33
19970203,0,0.12,0.13,-0.21,-0.13,0.11
19970204,-0.35,-0.15,-0.34,-0.02,0.07,0.36
19970205,-0.82,-0.4,-0.87,-0.53,-1.02,-1.67
19970206,0.12,-0.09,-0.24,0.18,0.38,0.26
19970207,0.24,0.27,0.36,0.79,0.8,1.33
19970210,-0.72,-0.44,-0.74,-0.26,-0.55,-0.69
19970211,-0.38,-0.45,-0.62,0.15,0.53,0.47
19970212,0.65,0.6,0.91,1.54,1.45,1.77
19970213,0.52,0.59,0.9,1.07,1.23,1.02
19970214,0.23,0.21,0.04,0.02,-0.26,-0.3
19970218,0.35,0.28,0.19,-0.07,0.77,1.01
19970219,-0.03,0.13,0.03,-0.05,-0.58,-0.28
19970220,-0.81,-0.64,-0.75,-1.19,-1.16,-1.23
19970221,-0.4,0.04,-0.29,-0.1,-0.16,-0.29
19970224,0.11,-0.06,0.29,0.32,0.64,1.32
19970225,0.24,0.09,0.33,0.35,0.67,0.11
19970226,-0.58,-0.67,-0.88,-1.09,-0.7,-0.68
19970227,-0.91,-0.39,-0.81,-1.09,-1.3,-1.38
19970228,-0.45,-0.36,-0.51,-0.4,-0.64,-0.42
19970303,-0.3,0.23,0.17,0.28,0.52,0.48
19970304,0.19,0.49,0.3,0.57,-0.23,-0.68
19970305,0.67,0.66,0.24,0.88,1.06,1.43
19970306,-0.19,-0.02,0.02,0.05,-0.09,-0.5
19970307,0.37,0.29,0.38,0.96,0.56,0.75
19970310,0.45,0.44,0.38,0.55,1,1.02
19970311,-0.11,0.31,0.01,0.05,-0.31,-0.26
19970312,-0.95,-0.59,-0.75,-0.47,-0.63,-0.92
19970313,-1.37,-1.14,-1.09,-1.72,-1.38,-1.84
19970314,0.08,0.01,-0.04,0.6,0.21,0.39
19970317,-1,-0.77,-0.84,-0.52,0.06,0.18
19970318,-0.61,-0.62,-0.85,-0.81,-0.5,-0.85
19970319,-1.34,-0.7,-1.13,-0.41,-0.21,-0.73
19970320,0.13,0.26,0.4,0.1,-0.07,-0.4
19970321,-0.12,-0.18,-0.01,0.4,0.42,-0.07
19970324,-0.82,-0.44,-0.71,0.11,0.47,0.95
19970325,0.2,0.23,0.33,0.02,0.1,-0.18
19970326,0.57,0.25,0.67,-0.07,0.3,0.25
19970327,-0.92,-0.7,-0.89,-2.06,-1.99,-2.04
19970331,-1.79,-1.4,-1.18,-2.62,-2.25,-2.29
19970401,-0.73,-0.52,-0.42,0.09,0.27,0.38
19970402,-1.1,-0.63,-0.64,-1.31,-1.26,-1.14
19970403,-0.58,-0.31,-0.25,-0.38,-0.15,0.26
19970404,1.29,1,1.16,0.91,0.76,1.35
