,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19640310,-0.12,0.17,-0.12,0.2,0.1,0.69
19640311,0.31,0.33,-0.07,0.34,0.47,0.5
19640312,0.31,0.04,0.05,0.13,0.22,0.21
19640313,0.43,0.47,0.13,0.23,0.09,0.06
19640316,0.11,-0.02,0.07,-0.1,0.24,-0.11
19640317,0.3,0.1,0.28,0.25,0.18,0.18
19640318,0.13,0.41,0.5,0.94,0.22,-0.23
19640319,-0.17,0.04,0.26,0.01,-0.03,-0.19
19640320,0.06,-0.32,-0.17,-0.29,-0.49,-0.47
19640323,0.32,0.1,0.47,-0.06,0.11,-0.04
19640324,0.12,0.01,-0.08,-0.11,-0.22,-0.13
19640325,0.93,0.27,0.56,0.48,0.15,0.2
19640326,0.85,0.49,0.28,0.33,0.06,0.41
19640330,-0.08,0.05,-0.31,-0.2,0.02,-0.18
19640331,-0.05,0.12,-0.06,-0.31,-0.06,-0.28
19640401,0.64,0.89,0.51,0.42,0.3,0.36
19640402,0.39,0.5,0.66,0.35,0.67,0.53
19640403,0.2,0.03,0.14,0.08,0.16,0.41
19640406,0.41,0.3,0.07,0.54,-0.05,0.08
19640407,-0.31,-0.14,-0.26,-0.34,-0.09,-0.66
19640408,0.37,0.48,0.67,0.26,-0.04,0.01
19640409,0.13,0.05,0.2,-0.04,-0.1,0.15
19640410,0.35,0.15,0.04,0.34,-0.02,0.34
19640413,-0.25,-0.24,0,-0.02,0.07,-0.25
19640414,-0.37,0.08,0.32,0.07,0.46,0.09
19640415,0.16,0.03,-0.24,0.18,0.24,0.12
19640416,0.02,-0.1,-0.08,0.14,0.29,-0.12
19640417,-0.06,0.28,0.56,0.49,0.59,0.2
19640420,-0.39,-0.26,-0.26,-0.18,0.06,-0.15
19640421,0.04,-0.27,-0.25,0.05,-0.18,0.27
19640422,-0.04,-0.23,-0.48,0.21,-0.06,-0.09
19640423,-0.39,-0.2,-0.84,0.14,-0.21,-0.14
19640424,-1.14,-0.98,-0.85,-0.84,-0.91,-0.5
19640427,-0.43,-0.8,-0.52,-0.12,-0.39,-0.8
19640428,0.72,0.52,0.57,1.1,0.62,0.63
19640429,-0.74,-0.68,-0.74,-0.55,-0.08,-0.62
19640430,-0.54,-0.36,-0.68,-0.08,-0.23,-0.22
19640501,0.88,0.62,0.53,0.77,0.57,1.18
19640504,0.8,0.39,0.58,0.58,0.5,0.35
19640505,0.05,0.26,0.36,0.66,0.55,0.48
19640506,0.13,-0.05,0.2,0.31,0.3,0.18
19640507,0.28,0.2,-0.02,0.21,-0.06,0.25
19640508,-0.28,-0.02,-0.15,0.08,-0.23,-0.19
19640511,0.28,-0.18,0.06,0.07,-0.13,0.1
19640512,0.4,-0.17,0.04,-0.07,0.34,0.55
19640513,-0.32,-0.19,-0.36,-0.43,-0.11,-0.31
19640514,0.08,0.19,0.15,-0.09,-0.15,-0.12
19640515,-0.16,-0.04,0.12,0.25,0.1,0.22
19640518,-0.26,-0.49,-0.4,-0.44,-0.37,-0.34
19640519,-0.31,0.01,0.02,-0.48,-0.37,-0.56
19640520,0.47,-0.16,0.32,0.23,0.35,0.54
19640521,-0.18,-0.03,-0.13,-0.25,0.01,0.19
19640522,0.2,0.25,0.47,0.08,0.12,0
19640525,-0.31,0.01,-0.02,-0.08,-0.07,-0.14
19640526,0.05,0,-0.26,-0.14,-0.12,-0.29
19640527,-0.38,-0.3,-0.46,0.31,-0.14,-0.29
19640528,0.5,0.17,0.31,0.25,0.11,0.17
19640601,-0.24,-0.32,-0.35,-0.22,-0.28,-0.41
19640602,-0.53,-0.64,-0.82,-0.72,-0.47,-0.44
19640603,-0.18,-0.04,-0.57,-0.26,-0.15,-0.29
19640604,-1.28,-1.08,-0.98,-1.04,-0.92,-1.07
19640605,0.48,0.31,0.39,0.32,0.44,0.51
19640608,-0.59,-0.54,-0.4,-0.66,-0.19,-0.7
19640609,0.42,0.38,0.63,0.72,0.28,0.93
19640610,0.28,0.47,0.37,0.17,0.33,0.55
19640611,0.25,0.47,0.25,0.29,0.21,0.53
19640612,-0.11,0.03,0.21,-0.17,-0.3,-0.13
19640615,0.63,0.18,0.8,0.6,0.47,0.49
19640616,0.42,0.63,0.72,0.71,0.5,0.52
19640617,0.76,0.47,0.23,1.06,0.58,0.33
19640618,0.17,0.03,0,0.07,0.15,-0.2
19640619,0.21,0.13,0.1,-0.01,0.13,0.18
19640622,0.33,0.17,-0.01,0.46,0.37,0.06
19640623,-0.35,0.26,0.11,-0.4,-0.3,-0.61
19640624,0.3,0.41,0.45,0.62,0.35,0.27
19640625,0.18,0.15,0.25,0.09,0.49,-0.15
19640626,0.72,0.63,0.37,0.28,0.3,0.21
19640629,-0.13,0.24,0.21,0,0.52,-0.12
19640630,-0.29,-0.03,0.08,-0.11,0.04,0.12
19640701,0.75,0.46,0.43,0.75,0.64,0.56
19640702,0.42,0.55,0.3,0.34,0.28,0.53
