,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19660513,-0.72,-1.14,-2.2,-0.45,-1.05,-1.61
19660516,-1.39,-1.99,-3.75,-0.97,-1.09,-2.94
19660517,-1.53,-1.44,-2.83,-0.3,-0.96,-1.66
19660518,0.99,1.36,4.49,0.85,1.5,4.87
19660519,-0.06,0.18,0.02,-0.21,0.39,-0.82
19660520,-0.02,0.1,1.13,0.19,0.17,2
19660523,0.48,0.89,1.9,0.33,0.98,2.01
19660524,0.69,0.89,1.86,0.44,0.81,1.06
19660525,0.27,0.29,0.74,0.02,0.25,1.55
19660526,-0.1,0.21,-0.23,-0.11,0.34,-0.09
19660527,0.05,0.38,0.62,0.12,0.23,0.9
19660531,-0.49,-0.55,-1.82,-0.86,-1.23,-2.62
19660601,-0.2,-0.1,-0.33,-0.17,-0.13,0.79
19660602,0.02,0.16,0.35,-0.04,-0.28,0.23
19660603,0.04,0.06,0.45,0.17,-0.14,0.45
19660606,-0.63,-0.53,-1.17,-0.46,-0.77,-1.23
19660607,-0.56,-0.54,-1.33,-0.54,-0.48,-1.28
19660608,0.39,0.2,0.58,-0.35,0.34,1.12
19660609,0.22,0.39,1.59,0.05,0.78,2.29
19660610,0.77,0.91,2.16,0.91,0.69,2.12
19660613,0.61,0.5,0.99,0.6,0.3,0.52
19660614,-0.09,0.21,0.47,0.04,0.31,1.14
19660615,-0.04,-0.04,0.15,-0.63,-0.18,-0.23
19660616,0.08,-0.15,0.35,-0.61,-0.21,0.5
19660617,-0.16,0.06,0.31,-0.09,0.26,-0.11
19660620,-0.15,0,0.32,-0.11,0.19,-0.31
19660621,0.16,0.43,0.71,0.12,0.19,1.15
19660622,0.39,0.31,0.69,0.02,0.14,0.55
19660623,-0.2,-0.21,-0.77,0.14,-0.39,-1.46
19660624,-0.08,-0.04,0.08,0.29,-0.1,-0.34
19660627,-0.24,-0.35,-1.13,-0.08,-0.6,-1.84
19660628,-0.48,-0.51,-0.71,-0.35,-0.62,-0.46
19660629,-0.69,-0.73,-1.75,-0.56,-0.87,-2.07
19660630,-0.43,-0.72,-0.77,-0.1,-0.33,0.18
19660701,0.77,0.83,1.49,0.96,0.71,1.5
19660705,0.28,0.23,-0.08,0.54,-0.11,-0.3
19660706,0.67,0.71,1.65,1.18,1.18,2.32
19660707,0.43,0.3,0.45,0.47,0.38,0.1
19660708,0.33,0.37,0.17,0.13,0.02,0.44
19660711,-0.12,0.11,0.01,-0.17,0.05,-0.38
19660712,-0.12,-0.23,-0.33,-0.47,-0.5,-0.6
19660713,-0.37,-0.22,-0.67,-0.71,-0.43,-0.68
19660714,0.31,0.36,0.84,0.48,0.31,1.11
19660715,-0.01,0.27,0.69,0.16,0.37,0.52
19660718,-0.32,-0.18,-0.18,-0.05,-0.09,-0.22
19660719,-0.39,-0.41,-1.18,-0.61,-0.58,-1.12
19660720,-0.25,-0.42,-0.87,-0.65,-1.05,-1.28
19660721,-0.24,-0.12,-0.26,-0.21,0.17,0.21
19660722,0.18,0.03,0.38,-0.2,-0.29,0.38
19660725,-1.35,-1.74,-3.69,-1.19,-1.88,-3.34
19660726,-0.55,-0.79,-1.06,-0.23,-0.27,0.04
19660727,0.23,0.43,1.09,0.3,0.52,0.88
19660728,0.04,-0.19,-0.52,-0.21,-0.49,-0.44
19660729,0.01,-0.21,-0.3,0.02,-0.41,-0.28
19660801,-1.31,-1.41,-2.24,-1.04,-1.6,-2.34
19660802,-0.09,-0.31,-0.27,0.02,0.05,0.3
19660803,0.68,0.6,1.7,0.69,1.04,1.71
19660804,0.47,0.61,0.82,0.93,0.92,1.04
19660805,0.07,0.38,0.35,0.22,0.2,-0.14
19660808,-0.44,-0.26,-0.41,-0.29,-0.05,0.02
19660809,-0.24,0.02,0.62,-0.57,-0.06,0.32
19660810,-0.34,-0.43,-0.49,-0.31,-0.37,-0.63
19660811,0.09,-0.09,0.13,-0.38,-0.06,0.68
19660812,0.18,0.26,0.86,-0.25,0.49,0.88
19660815,-0.49,-0.36,-0.03,-0.49,-0.52,-0.41
19660816,-0.79,-1.15,-1.47,-1.09,-1.35,-1.45
19660817,-0.83,-0.83,-1,-0.42,-0.57,-0.74
19660818,-0.87,-1.16,-1.71,-0.92,-1.35,-1.78
19660819,-0.84,-0.91,-1.49,-0.35,-0.88,-1.16
19660822,-1.28,-1.75,-2.86,-1.6,-1.9,-1.98
19660823,-0.49,-0.22,0.37,-0.5,-0.01,0.44
19660824,0.69,0.99,1.45,1.26,0.72,1.69
19660825,-0.39,-0.79,-2.09,-0.67,-1.17,-2.46
19660826,-2.08,-2.09,-3.59,-1.4,-2.02,-3.91
19660829,-2.52,-3.06,-4.89,-1.54,-2.68,-3.97
19660830,0.08,0.28,2.26,0.96,1.4,3.74
19660831,1.34,1.56,2.51,1.46,2.1,1.2
19660901,0.74,0.4,0.12,1.35,0.65,-0.54
19660902,-0.08,-0.23,-0.41,-0.32,-0.01,-0.85
19660906,-0.24,-0.17,-0.64,-0.25,-0.42,-1.21
19660907,-1.1,-0.96,-1.74,-0.5,-0.75,-1.75
19660908,-0.7,-0.31,0,-0.71,-0.38,0.43
19660909,0.41,0.32,0.59,-0.17,0.47,1.04
19660912,1.47,1.57,2.76,1.87,1.74,3.4
19660913,0.89,0.94,0.89,0.74,0.69,0.01
19660914,0.32,0.17,0.78,0.68,0.77,1.82
19660915,0.49,0.62,0.44,1.11,1.32,0.67
19660916,0.18,0.29,0.16,0.04,-0.05,-0.19
19660919,-0.28,-0.09,-0.2,-0.6,-0.21,-0.54
19660920,-0.39,-0.29,-0.28,-0.91,-0.63,-0.31
19660921,-1.18,-1.16,-1.93,-1.45,-1.37,-2.65
19660922,0.15,-0.16,0.23,0.24,0.18,0.33
19660923,-0.03,-0.19,-0.13,-0.39,-0.03,-0.49
19660926,-0.12,0.11,0.46,-0.29,0.38,1.25
19660927,-0.02,0.17,0.25,0.3,0.45,0.1
19660928,-0.93,-0.77,-0.84,-1.08,-1,-1.7
19660929,-1.31,-1.15,-1.51,-0.63,-0.92,-2.05
19660930,-0.12,-0.13,0.22,0.34,0.34,0.33
19661003,-1.79,-1.65,-3.08,-1.76,-1.84,-3.38
19661004,-1.15,-0.74,-1.2,0.49,0.01,-0.03
19661005,-0.73,-0.52,-1.51,-0.33,-0.26,-1.34
19661006,-1.52,-1.38,-2.43,-0.38,-0.84,-2
19661007,-1.67,-1.49,-2.43,-0.46,-1.43,-2.02
19661010,0.51,0.14,2.07,1.22,1.73,2.78
19661011,0.78,0.75,0.38,0.62,0.52,0.26
19661012,1.38,1.38,2.27,2.67,2.51,3.23
19661013,0.85,0.69,0.6,-0.66,0.55,-0.01
19661014,0.17,-0.08,0.02,-1.02,0.17,-0.05
19661017,0.38,0.29,0.81,1.36,1.06,1.01
19661018,1.05,0.88,1.69,1.3,1.75,2.16
19661019,-0.25,-0.28,-0.64,-0.6,-0.7,-1.06
19661020,-0.42,0.13,-0.53,-0.16,-0.08,-0.82
19661021,-0.46,-0.16,0.1,0.48,0.41,0.14
19661024,-0.26,0.08,-0.33,0.51,0.29,-0.11
19661025,-0.19,-0.05,0.15,0.75,0.49,0.46
19661026,1,0.95,0.89,0.83,0.81,1
19661027,0.84,1.02,0.44,0.84,0.94,0.62
19661028,0.77,0.56,0.43,0.17,0.01,-0.13
19661031,0.24,0.03,0.05,0.22,-0.13,-0.1
19661101,0.49,0.63,0.97,0.69,0.69,1.4
19661102,-0.1,0.27,0.27,0.3,0.11,0.1
19661103,-0.27,-0.06,0.09,-0.72,-0.21,-0.09
19661104,0.24,0.02,0.45,0.31,0.43,0.51
19661107,0,0.21,0.02,-0.15,-0.02,0.06
19661109,1.32,0.6,0.92,0.58,0.69,1.35
19661110,1.19,0.64,1.15,0.93,0.52,0.56
19661111,0.99,0.49,0.72,0.18,0.11,-0.1
19661114,0,-0.03,-0.3,-0.79,-0.57,-0.33
19661115,0.87,0.3,0.71,0.31,0.36,0.58
19661116,1.68,0.82,1.75,1.07,0.75,0.78
19661117,-0.3,0.08,-0.72,-0.85,-0.48,-0.83
19661118,-0.42,-0.07,-0.49,-1.12,-0.69,-0.19
19661121,-1.82,-1.23,-1.3,-1.6,-1.41,-1.1
19661122,-0.64,-0.71,-0.71,-0.71,-0.48,-0.29
19661123,1.02,0.42,1.13,0.25,0.84,1
19661125,1.16,0.61,1.18,1.3,0.73,0.6
19661128,0.16,-0.31,0.37,-0.79,-0.01,0.38
19661129,-0.28,-0.12,0.24,-0.62,-0.33,-0.06
19661130,0.07,0.14,0.43,-0.2,-0.13,0.46
19661201,-0.13,-0.09,-0.14,-0.33,-0.36,-0.46
19661202,-0.08,0.25,0.4,0.45,0.19,-0.33
19661205,-0.26,-0.2,0.05,-0.05,-0.01,0.31
19661206,0.43,0.36,0.61,0.46,0.71,0.84
19661207,0.81,0.55,0.89,0.72,1.14,1.12
19661208,0.69,0.58,0.24,0.59,0.16,0.53
19661209,0.73,0.3,0.31,1.16,0.07,0.02
19661212,0.93,0.9,0.94,1.8,0.91,0.77
19661213,-0.19,0,-0.09,-0.05,-0.31,-0.36
19661214,0.55,0.56,0.65,0.19,-0.1,-0.07
19661215,-0.69,-0.27,-0.69,-1.52,-0.98,-0.95
19661216,0.33,0.2,0.42,0.35,-0.12,0.01
19661219,-0.28,-0.04,0.08,-0.72,-0.32,0
19661220,-0.3,-0.57,-0.48,-0.47,-0.35,-0.31
19661221,0.92,0.58,0.45,0.46,0.37,0.71
19661222,0.87,0.48,0.69,0.4,0.65,0.08
19661223,0.19,-0.05,0.1,0.15,-0.3,-0.43
19661227,-0.59,-0.2,-0.35,-0.74,-0.49,-0.48
19661228,-1.02,-0.56,-0.76,-0.91,-0.26,-0.39
19661229,-0.97,-0.61,-0.71,-0.47,-0.16,-0.46
19661230,-0.71,0.12,-0.06,-0.85,0.06,0.19
19670103,2.52,1.17,0.66,1.84,-0.19,-0.68
19670104,0.72,0.06,0.03,0.74,0.28,-0.21
19670105,2.74,1.63,1.58,2.5,1.16,0.81
19670106,1.78,1.43,0.92,1.22,0.41,0.73
19670109,1.97,1.26,0.91,1.12,0.54,0.95
19670110,0.35,0.56,0.22,-0.15,0.03,0.02
19670111,1.67,0.81,0.9,0.86,0.36,1.28
19670112,0.73,0.96,0.71,0.67,0.46,0.55
19670113,0.83,0.58,1.59,0.52,0.61,0.8
19670116,0.24,0.34,-0.2,0.21,-0.08,-0.47
19670117,1.32,0.81,1.31,1.48,1.18,0.96
19670118,0.56,0.61,0.01,0.7,0.75,0.31
19670119,0.19,0.41,0.61,0.29,0.05,-0.11
19670120,1.35,0.95,1.57,0.77,0.09,0.32
19670123,0.8,0.56,0.2,0.55,0.16,0.43
19670124,0.61,0.21,0.67,-0.34,0.36,0.28
19670125,-0.29,-0.29,-0.62,-1.32,-0.51,-0.58
19670126,0.48,0.26,0.56,-0.68,0.01,0.29
19670127,0.94,0.77,1.07,0.81,0.41,0.32
19670130,1.07,1.18,1.32,1.08,0.34,0.51
19670131,0.15,0.66,-0.16,0.01,0.03,-0.25
19670201,0.09,-0.11,0.22,-0.15,-0.13,-0.2
19670202,0.51,0.64,0.89,0.26,0.36,0.32
19670203,1.25,0.77,1.39,0.87,0.74,0.54
19670206,0.42,0.02,0.12,-0.17,-0.27,-0.04
19670207,-0.07,0.09,0.05,-0.29,-0.2,-0.08
19670208,1.01,0.98,1.06,1.1,0.63,1
19670209,-0.37,-0.36,-0.77,-0.57,-0.4,-0.2
19670210,0.77,0.4,0.71,0.43,0.07,0.31
19670213,0.74,0.48,0.65,0.25,-0.03,0.18
19670214,0.91,0.56,1.16,0.49,0.78,0.83
19670215,-0.02,-0.07,-0.22,-0.13,0.26,0.04
19670216,-0.52,-0.13,-0.26,-0.63,-0.22,-0.49
19670217,-0.29,0.15,0.14,-0.19,-0.04,0.25
19670220,-0.42,-0.27,-0.2,-1.01,-0.46,-0.26
19670221,0.02,0.29,0.61,-0.17,-0.04,0.1
19670223,0.05,0.16,0.02,0.06,0.12,0.2
19670224,0.18,0.25,0.03,-0.36,0.12,0.32
19670227,-1.47,-1.07,-1.69,-1.4,-0.88,-1
19670228,0.1,0.24,1.2,0.16,0.2,0.7
19670301,0.93,0.74,1.09,0.86,1.2,0.92
19670302,0.42,0.25,0.63,0.58,0.57,0.5
19670303,0.26,0.2,0.68,0.13,0.16,0.17
19670306,0.2,-0.09,0.44,-0.42,0.07,-0.21
19670307,0.23,0.38,0.9,0.47,-0.09,0.19
19670308,0.44,0.18,0.54,-0.03,0.17,0.26
19670309,0.54,0.33,0.86,0.28,0.25,0.32
19670310,0.81,0.52,0.28,0.61,0.24,0.37
19670313,-0.22,-0.11,-0.7,-0.35,-0.55,-0.45
19670314,-0.17,-0.01,0.3,0.26,-0.07,-0.39
19670315,0.68,0.67,0.9,1.22,0.85,0.79
19670316,0.52,0.56,0.82,1.55,0.7,0.76
19670317,0.49,0.14,0.23,0.47,0.04,0.03
19670320,0.14,0.32,0.23,-0.46,0.08,0.2
19670321,-0.16,-0.03,-0.75,-0.44,-0.1,-0.31
19670322,0.09,0.26,0.57,0.3,0.3,0.3
19670323,0.38,0.53,0.74,0.86,0.59,0.74
19670327,-0.07,0.1,0.05,-0.63,0.1,0.21
19670328,0.1,0.13,0.24,0.16,0.01,0.13
19670329,0.07,0.03,0.16,-0.42,-0.21,0.16
19670330,0.12,0.21,0.48,-0.48,0.19,0.24
19670331,-0.11,-0.08,-0.51,-0.61,-0.32,-0.62
19670403,-1.06,-1.07,-1.66,-0.8,-0.94,-1.4
19670404,0.05,0.13,0.52,0.25,-0.09,-0.05
19670405,0.66,0.62,0.87,0.49,0.61,0.77
19670406,0.31,0.01,0.22,-0.07,0.15,0.52
19670407,-0.62,-0.54,-0.85,-0.82,-0.33,-0.72
19670410,-1.52,-1.05,-2.1,-1.2,-0.98,-1.37
19670411,0.84,0.49,1.44,0.57,0.62,0.88
19670412,-0.07,0.23,0.11,-0.28,-0.05,-0.03
19670413,0.42,0.25,1.12,0.63,0.5,0.83
19670414,0.45,0.44,0.81,1.12,0.77,1.26
19670417,0.47,0.38,0.55,1.33,0.46,0.46
19670418,0.71,0.79,1.18,0.56,0.83,1.07
19670419,0.03,0.28,0.08,0.75,-0.08,-0.05
19670420,0.31,0.4,0.3,0.39,0.11,0.16
19670421,0.72,0.36,0.93,0.81,-0.14,0.19
19670424,-0.02,0.19,-0.04,0.66,0.01,0.35
19670425,0.49,0.24,0.32,0.81,0.27,0.68
19670426,-0.04,0.03,0.04,0.07,-0.14,-0.19
19670427,0.83,0.64,1.36,0.77,0.59,1.11
19670428,0.31,0.42,0.56,0.56,-0.06,0.07
19670501,0.25,0.16,0.39,-0.61,-0.17,0.43
19670502,0.46,0.51,0.84,-0.18,-0.11,0.1
19670503,0.66,0.75,0.7,0.59,0.02,0.3
19670504,0.13,0.36,0.3,0.75,0.32,0.1
19670505,0.22,0.22,0.29,0.36,0.18,-0.13
19670508,0.22,0.13,0.14,0.55,0.34,-0.18
19670509,-0.98,-0.86,-1.73,-1.01,-0.69,-1.42
19670510,0.33,0.25,0.55,-0.59,-0.15,0.16
19670511,0.71,0.83,1.45,0.67,0.39,0.35
19670512,-0.04,0.23,0.13,-0.74,-0.02,-0.02
19670515,-0.08,-0.16,-0.49,-0.78,-0.54,-1
19670516,0.24,0.4,0.98,0.03,0.38,1.01
19670517,0.22,0.1,-0.23,-0.46,-0.33,-0.06
19670518,0.24,0.27,0.13,-0.5,-0.26,0.09
19670519,-0.13,-0.11,-0.29,-0.56,-0.42,-0.3
19670522,-0.26,-0.17,0.11,-0.8,-0.33,0.04
19670523,-0.25,-0.22,-0.46,-0.37,-0.49,-0.35
19670524,-1.26,-1.38,-1.84,-1.16,-0.98,-1.41
19670525,0.47,0.59,1.12,1.03,1.01,1.09
19670526,0.01,-0.05,-0.26,-0.16,-0.01,-0.2
19670529,0.04,-0.4,-0.42,-0.38,-0.46,-0.58
19670531,-1.9,-1.93,-3.5,-1.63,-1.27,-2.04
19670601,0.89,0.72,1.78,1.05,1.1,1.52
19670602,0.02,0.07,0.05,-0.49,-0.47,-0.3
19670605,-1.9,-2.39,-3.91,-1.46,-1.34,-1.88
19670606,1.77,2.3,3.91,1.7,1.7,2.67
19670607,0.67,0.86,1.94,1.05,0.52,1.23
19670608,0.67,0.85,1.31,0.33,0.39,0.99
19670609,0.52,0.58,1.01,0.01,0.06,0.74
19670612,0.66,0.79,1.54,0.79,0.39,0.85
19670613,0.46,0.43,1.16,0.95,0.38,0.78
19670614,0.09,0,0.29,-0.53,-0.31,0.32
19670615,0.36,0.38,1.12,-0.18,0.28,0.18
19670616,0.05,0.23,0.33,-0.09,0.12,0
19670619,0.04,0.14,0.85,0,0.09,-0.11
19670620,-0.11,0.14,0.38,-0.54,0.16,0.1
19670621,0.35,0.19,-0.16,-0.52,-0.15,-0.2
19670622,0.04,0.33,0.31,-0.14,-0.42,-0.03
19670623,0.53,0.23,0.76,0.08,-0.12,0.24
19670626,-0.33,-0.29,-0.42,-0.52,-0.6,0.15
19670627,-0.03,0.16,0.31,0.14,-0.41,-0.78
19670628,0.29,0.59,0.95,-0.11,0.13,-0.05
19670629,-0.39,-0.53,-0.82,-0.57,-0.41,-0.4
19670630,0.53,0.31,0.7,0.2,-0.27,-0.36
19670703,0.69,0.64,0.85,0.15,0.39,0.46
19670705,0.8,0.53,0.95,0.75,0.27,0.7
19670706,0.32,0.06,0.23,0.15,-0.36,0.21
19670707,1.02,0.7,1.29,0.45,0.3,0.64
19670710,0.89,0.8,0.86,0.41,0.08,1.02
19670711,-0.07,0.27,0.16,0.56,0.53,0.29
19670712,0.08,0.23,0.03,0.2,-0.15,-0.08
19670713,0.58,0.2,0.62,0.07,0.01,0.05
19670714,0.98,0.83,0.8,0.61,0.19,0.35
19670717,0.64,0.1,0.3,-0.13,0.23,-0.03
19670718,0.69,0.68,0.51,1.43,0.5,0.38
19670719,0.19,0.15,-0.06,0.34,0.11,-0.14
19670720,0.13,0.11,-0.13,0.62,0.21,-0.36
19670721,0.07,0.05,-0.58,0.43,0.02,-0.14
19670724,-0.34,-0.31,-0.72,-0.15,-0.33,-0.53
19670725,0.23,0.28,0.82,-0.11,0.11,-0.08
19670726,0.68,0.6,0.84,0.24,0.09,1.11
19670727,0.39,0.68,0.83,0.13,0.24,0.74
19670728,0.64,0.47,0.49,0.16,0.1,0.25
19670731,0.59,0.6,0.42,0.65,0.05,0.29
19670801,0.51,0.64,0.36,0.78,0.55,0.71
19670802,0.21,0.27,-0.29,0.55,0.53,-0.14
19670803,-0.38,-0.18,-0.17,0.02,-0.25,-0.26
19670804,0.66,0.54,0.81,0.09,0.29,0.38
19670807,0.22,0.14,-0.19,-0.19,-0.17,-0.15
19670808,0.18,0.05,0.03,0.02,0.17,0.14
19670809,0.04,0.26,0.21,0.26,0.09,-0.06
19670810,-0.16,-0.1,-0.41,0.04,-0.23,-0.78
19670811,-0.19,-0.31,-0.82,-0.37,-0.31,-0.85
19670814,-0.45,-0.48,-1.16,-0.36,-0.41,-0.69
19670815,0.05,0.15,0.17,0.16,0.21,-0.14
19670816,-0.06,-0.16,-0.59,-0.17,-0.37,0.05
19670817,0.25,0.36,0.37,0,0.24,-0.03
19670818,0.17,0.19,0.44,0.15,0.11,0.36
19670821,0.09,-0.38,-0.52,-0.41,-0.55,-0.54
19670822,-0.31,-0.42,-0.55,-0.59,-0.5,-0.57
19670823,-0.23,-0.15,0.12,0,-0.28,0.17
19670824,-0.06,-0.31,-0.5,-0.72,-0.2,-0.92
19670825,-0.26,-0.7,-0.75,-0.18,-0.39,-0.7
19670828,0.17,0.02,0.33,-0.12,0.11,0.19
19670829,0.05,0.2,0.41,0.06,0.25,0.73
19670830,0.48,0.67,0.79,0.05,0.26,0.61
19670831,0.28,0.72,0.98,0.34,0.69,1.16
19670901,0.16,0.33,1.01,0.05,0.01,0.46
19670905,0.19,0.33,0.56,0.65,0.38,0.73
19670906,0.24,0.37,0.35,0.03,0.27,0.31
19670907,0.05,0.14,0.12,-0.07,0.06,-0.26
19670908,0.16,0.27,0.45,-0.08,0.05,0.07
19670911,0.29,0.07,0.4,-0.02,0.32,0.2
19670912,0.51,0.49,0.67,0.59,0.35,0.6
19670913,0.61,0.78,0.52,1.53,0.7,0.44
19670914,0.15,0.31,0.04,0.52,-0.1,-0.24
19670915,0.26,0.4,0.33,0.12,-0.12,0.15
19670918,0.34,0.54,0.6,0.47,0.13,-0.16
19670919,-0.42,-0.44,-0.68,-0.51,-0.28,-0.41
19670920,0.52,0.27,0.84,-0.13,0.1,0.12
19670921,-0.04,0.27,0.75,0.37,0.19,1.91
19670922,0.23,0.74,0.9,-0.03,0.37,0.59
19670925,0.09,0.27,0.24,0.77,0.32,0.43
19670926,-0.68,-0.63,-1.22,-0.6,-1.06,-0.97
19670927,0.29,0.12,0.66,-0.06,0.08,0.14
19670928,0.2,0.31,0.47,-0.05,0.09,0.27
19670929,-0.04,0.56,0.68,-0.2,0.08,0.11
19671002,-0.28,0.08,-0.35,-0.42,-0.33,-0.52
19671003,0.39,0.49,0.26,0.15,0.5,0.44
19671004,0.21,0.05,0.06,-0.22,-0.11,0
19671005,0.14,0.34,0.42,0.16,0.14,0.55
19671006,0.39,0.46,1.15,0.45,0.28,1.29
19671009,0.23,0.55,0.53,0.33,0.09,0.05
19671010,-0.35,-0.64,-1.25,-0.54,-0.72,-1.12
19671011,-0.39,-0.34,-0.6,-0.48,-0.22,-0.72
19671012,-0.08,-0.49,-0.45,-0.5,-0.73,-0.79
19671013,0.31,0.39,0.67,0.2,0.19,0.26
19671016,-0.72,-0.78,-1.02,-0.96,-0.53,-0.83
19671017,-0.22,-0.22,0.18,-0.32,-0.23,0.53
19671018,0.12,0.22,0.49,0.03,0.44,0.64
19671019,-0.03,-0.27,0.04,0.02,0.3,0.13
19671020,-0.4,-0.36,-0.48,-0.11,-0.27,0.44
19671023,-0.35,-0.73,-0.89,-0.32,-0.51,-0.62
19671024,-0.64,-0.74,-1.12,-0.49,-0.68,-0.26
19671025,-0.36,-0.39,0.37,-0.1,0.38,0.69
19671026,0.15,0.42,1.22,0.14,0.53,0.99
19671027,0.07,-0.07,0.08,0.1,-0.12,0.11
19671030,-0.42,-0.22,0.16,-0.24,-0.17,0.07
19671031,-0.6,-0.89,-1.3,-0.71,-0.9,-1.32
19671101,-0.86,-1.21,-0.87,-0.89,-1.63,-1.39
19671102,-0.34,-0.76,-0.78,-0.26,-0.61,-0.77
19671103,0.18,-0.11,0.02,-0.47,-0.6,-0.39
19671106,0.05,-0.34,-0.24,-0.31,-0.36,-0.19
19671108,0.06,0.16,-0.47,-0.23,-0.35,-0.82
19671109,-0.12,-0.07,0.18,0.46,0.51,0.48
19671110,0.01,0.48,0.62,0.68,0.36,0.77
19671113,-0.31,-0.24,-1.47,-0.06,-0.22,-0.69
19671114,-0.58,-0.97,-2.22,-0.33,-0.75,-1.31
19671115,-0.06,-0.15,0.06,0.23,0.51,1.12
19671116,0.53,0.87,1.65,0.6,0.95,1.86
19671117,0.54,0.61,1.24,-0.06,0.48,1.03
19671120,-1.31,-1.92,-2.81,-0.84,-1.45,-2.19
19671121,1.03,2.04,3.42,1.1,1.58,3.14
19671122,0.72,0.87,1.33,0.46,0.85,0.67
19671124,0.22,0.12,0.11,0.23,0.17,0.44
19671127,0.01,0.4,0.75,0.45,0.2,0.37
19671128,0.24,0.48,0.93,0.46,0.51,0.64
19671129,0.28,0.35,0.29,-0.02,0.11,0.09
19671130,-0.52,-0.37,-0.38,-0.54,-0.31,-0.42
19671201,0.25,0.64,1.6,0.1,0.76,0.91
19671204,0.59,0.61,1.51,0.07,0.79,1.54
19671205,-0.15,0.09,-0.19,0.21,0.23,-0.19
19671206,0,0.46,0.68,0.26,0.43,0.49
19671207,0.04,0.29,0.04,-0.06,-0.33,0.24
19671208,0.08,-0.02,0.53,-0.36,-0.04,0.44
19671211,-0.1,0.22,0.64,-0.35,-0.25,0.18
19671212,0.19,0.21,0.61,0,-0.13,-0.08
19671213,0.66,0.73,0.87,0.4,0.28,0.6
19671214,0.5,0.68,0.63,0.2,0.08,0.09
19671215,-0.15,-0.28,-0.73,-0.36,-0.34,-1.44
19671218,-0.11,-0.03,-0.06,0.07,-0.06,-1.57
19671219,0,-0.17,0.34,-0.06,-0.16,-0.16
19671220,0.5,0.61,0.77,0.46,0.46,1.05
19671221,0.1,0.37,0.47,0.47,0.15,-0.02
19671222,0.33,0.41,0.32,-0.05,-0.13,-0.44
19671226,0.71,0.7,0.58,0.24,-0.09,0.29
19671227,0.8,0.72,0.86,0.83,0.33,0.96
19671228,0.37,0.24,0.02,0.26,-0.31,-0.16
19671229,0.73,0.82,1.1,0.44,0.79,0.61
19680102,0.99,0.65,0.09,0.62,-0.79,-1.09
19680103,0.37,0.09,-1.11,-0.05,-0.38,-1.72
19680104,0.1,-0.16,-0.41,0.48,-0.44,-1.26
19680105,1.19,1.07,1.12,1.02,0.41,0.26
19680108,0.97,1.23,0.72,1.19,0.67,-0.09
19680109,-0.11,0.24,-0.43,-0.35,0.2,-0.43
19680110,0.29,0.47,0.72,-0.13,-0.06,0.87
19680111,0.86,1.01,1.07,0.08,0.03,0.7
19680112,0.54,0.52,1.18,-0.04,0.14,0.48
19680115,0.28,0.38,0.53,-0.26,-0.32,0.14
19680116,-0.43,-0.09,0.29,-0.39,-0.65,-0.88
19680117,0.19,0.26,0.52,-0.46,-0.08,0.26
19680118,0.16,0.42,0.93,-0.15,-0.28,0.55
19680119,-0.08,-0.18,-0.44,-0.46,-0.23,-0.37
19680122,-1.25,-1.12,-2.01,-0.81,-1.39,-1.89
19680123,-0.38,-0.62,-0.84,-0.81,-0.53,0.19
19680124,-0.1,-0.31,-0.08,-0.32,-0.41,-0.61
19680125,-0.24,-0.3,-0.26,-0.06,0.06,0.42
19680126,0.29,0.73,0.88,0.09,0.11,0.44
19680129,-0.17,0.09,-0.22,0.02,-0.06,-0.56
19680130,-0.57,-0.7,-1.29,-0.1,-0.46,-1.07
19680131,-0.73,-0.62,-1.27,-0.27,-0.53,-2.08
19680201,0.16,0.05,-0.07,0.57,0.2,0.31
19680202,-0.25,-0.09,-0.58,-0.3,-0.12,-0.69
19680205,-0.23,-0.38,-1,-0.64,-0.14,-0.63
19680206,-0.03,0.03,0.02,0.27,-0.04,0.09
19680207,-0.07,0.14,0.06,0.01,0.21,0.43
19680208,-1.43,-1.7,-2.95,-0.76,-1.19,-2.47
19680209,-1.28,-1.45,-2.01,-1.08,-0.86,-1.71
19680213,-1.25,-1.62,-2.3,-0.58,-1.27,-0.72
19680214,0.78,0.93,1.99,0.55,1.26,2.55
19680215,0.71,0.78,1.23,0.14,0.33,-0.04
19680216,-0.28,-0.15,-0.24,-0.32,-0.26,-0.83
19680219,0.19,0.2,0.7,0.18,0.25,1
19680220,1.06,0.59,1.04,0.37,0.52,1.33
19680221,0.61,0.43,0.39,0.39,0.44,0.55
19680223,-0.53,-0.44,-0.75,-0.34,-0.28,-0.99
19680226,-1.03,-0.77,-1.54,-0.42,-0.92,-0.98
19680227,0.21,0.1,0.72,0.3,0.38,0.78
19680228,-0.39,-0.08,-0.73,-0.57,-0.25,-0.97
19680229,-0.81,-0.8,-1.5,-0.61,-0.71,-1.57
19680301,-0.54,-0.79,-1.3,-0.19,-0.31,-0.85
19680304,-1.28,-1.72,-3.08,-1.07,-1.33,-2.6
19680305,-1,-1.07,-1.67,-0.33,-0.54,0.54
19680306,1.39,1.7,3.3,1.35,1.64,2.91
19680307,0.31,0.2,0.38,-0.38,-0.05,-0.18
19680308,-0.25,-0.19,-0.22,-0.12,0.11,-0.39
