,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19270608,0.85,0.2,0.44,0.63,0.22,0.25
19270609,0.34,0.01,0.45,0.19,-0.04,0.01
19270610,0.05,-0.61,-0.68,-0.33,-0.42,-0.27
19270611,-0.27,-0.14,-0.26,0.04,-0.1,-0.06
19270614,-1.49,-1.6,-2.2,-1.16,-1.21,-2.16
19270615,1.15,0.65,2.24,0.48,0.76,1.32
19270616,0.44,0.42,0.76,0.08,0.46,1.06
19270617,0.23,1.06,1.38,0.26,0.14,0.05
19270618,0.15,0.23,0.34,-0.04,-0.15,-0.06
19270620,-0.27,-0.08,-0.69,-0.12,-0.2,-0.18
19270621,-0.7,-0.04,-0.38,-0.41,-0.29,-0.33
19270622,-0.02,0.03,-0.14,-0.23,-0.06,0.22
19270623,-1.11,-0.74,-2.11,-1.02,-0.68,-1.08
19270624,0.04,0.21,0.54,0.02,0.17,0.14
19270625,-0.29,-0.26,0.23,-0.58,-0.05,0.07
19270627,-2.01,-1.18,-1.98,-0.96,-1.03,-1.64
19270628,0.29,0.09,0.37,0.68,0.15,0.43
19270629,0.26,-0.37,-0.09,-0.13,0.08,-0.03
19270630,-0.25,0.08,-0.1,-0.3,0.03,-0.2
19270701,0.56,0.45,1.34,0.53,0.64,0.79
19270702,0.86,0.55,1.44,0.66,0.45,0.77
19270705,0.64,0.45,0.72,0.37,0.8,1.23
19270706,0.97,0.21,1.53,0.88,0.5,0.65
19270707,-0.47,0.12,-0.33,-0.47,-0.19,-0.34
19270708,-1.14,0.03,-0.3,-0.65,-0.01,-0.19
19270709,0.34,0.04,0.22,0.53,0.06,0.32
19270711,-0.1,-0.1,0.66,0.19,0.49,0.46
19270712,0.24,0.24,-0.03,0.17,0.55,0.08
19270713,0.26,0.31,0.37,-0.08,0.45,0.13
19270714,-0.09,0.06,0.36,0.32,0.26,0.95
19270715,0.31,-0.07,0.35,0.52,0.2,0.34
19270716,0.79,0.44,0.14,0.51,0.12,0.07
19270718,0.26,0.12,0.32,0.27,0.15,0.24
19270719,0.29,-0.15,0.47,0.31,0.26,0.3
19270720,0.43,0.32,0.07,-0.33,0.36,1.12
19270721,0.22,0.27,-0.39,-0.41,0.01,0.1
19270722,0.07,-0.15,-0.99,0.18,0,-0.2
19270723,0.78,-0.1,0.52,0.06,0.08,0.44
